stock_code;description;total_revenue;total_units;avg_discount;promo_revenue
DOT;DOTCOM POSTAGE;206248,77;  706;-87,7955;5,15
22423;REGENCY CAKESTAND 3 TIER;174484,74;13879;-0,0962;93508,55
23843;PAPER CRAFT , LITTLE BIRDIE;168469,60;80995;0,0000;0,00
85123A;WHITE HANGING HEART T-LIGHT HOLDER;104340,29;37599;-0,0560;55626,90
47566;PARTY BUNTING;99504,33;18295;-0,1706;34952,85
85099B;JUMBO BAG RED RETROSPOT;94340,05;48474;-0,1949;61472,79
23166;MEDIUM CERAMIC TOP STORAGE JAR;81700,92;78033;-0,1748;79130,48
M;Manual;78110,27; 7224;-183,6884;1559,12
POST;POSTAGE;78101,88; 3150;-0,7265;5853,76
23084;RABBIT NIGHT LIGHT;66964,99;30788;-0,1445;35836,15
22086;PAPER CHAIN KIT 50'S CHRISTMAS;64952,29;19355;-0,1379;25318,95
84879;ASSORTED COLOUR BIRD ORNAMENT;59094,93;36461;-0,0191;19458,80
79321;CHILLI LIGHTS;54117,76;10306;-0,1808;39377,86
23298;SPOTTY BUNTING;42548,13; 8327;-0,1156;11815,05
22386;JUMBO BAG PINK POLKADOT;42436,24;21465;-0,2481;26787,70
21137;BLACK RECORD COVER FRAME;40652,13;11656;-0,1232;35161,08
22502;PICNIC BASKET WICKER 60 PIECES;39619,50;   61;-108,1597;0,00
23284;DOORMAT KEEP CALM AND COME IN;38166,64; 5491;-0,1037;25927,02
22720;SET OF 3 CAKE TINS PANTRY DESIGN;38158,39; 7493;-0,1776;9755,58
22960;JAM MAKING SET WITH JARS;37128,88; 8706;-0,1934;16102,38
82484;WOOD BLACK BOARD ANT WHITE FINISH;36030,22; 6020;-0,0615;25355,10
20725;LUNCH BAG RED RETROSPOT;35752,01;19353;-0,2896;8888,50
22197;POPCORN HOLDER;34298,87;36761;-0,2000;16516,80
22178;VICTORIAN GLASS HANGING T-LIGHT;33187,97;24304;-0,3145;9946,20
22114;HOT WATER BOTTLE TEA AND SYMPATHY;33002,59; 5747;-0,1809;6716,45
22910;PAPER CHAIN KIT VINTAGE CHRISTMAS;32873,34;10604;-0,1404;14269,70
